INDEX,FILE,QUOTE_TRANSCRIPTION,LAT,LNG,VERIFICATION_STATUS,COMMENT,SECOND_QUOTE_TRANSCRIPTION,Column
169,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Paramatta,-33.81667,151,VERIFIED,,Parramatta,
170,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
171,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Northern Ranges,,,UNVERIFIED,,Northern Ranges,
172,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,America,45.70207475,-112.5748711,VERIFIED,Geographic Region,America,
173,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Bailey,,,UNVERIFIED,,Bailey,
174,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Bailey River,33.19461,150.896798,UNVERIFIED,,Bailey River,
175,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
176,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Morpeth,32.728364,151.634378,NOT_IDENTIFIABLE,,Morpeth,
177,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Australia,-25.73650334,134.48623,UNVERIFIED,,Australia,
178,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Liverpool,-33.9,150.93333,UNVERIFIED,,Liverpool,
179,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Morpeth,32.728364,151.634378,NOT_IDENTIFIABLE,,Morpeth,
180,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
181,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Royal Mail Hotel,,,UNVERIFIED,Imaginary,Royal Mail Hotel,
182,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Patrick 's Plains,,,NOT_IDENTIFIABLE,Imaginary,Patrick 's Plains,
183,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
184,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Cassilis Station,-32.028508,150.011115,NOT_IDENTIFIABLE,,Cassilis Station,
185,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Australia,-25.73650334,134.48623,UNVERIFIED,,Australia,
186,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
187,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Glen of Adullam;,,,NOT_IDENTIFIABLE,Imaginary,Glen of Adullam;,
189,11611_21_4_1911_3_VI__101608984.txt,Harglen,,,NOT_IDENTIFIABLE,Imaginary,Harglen,
190,11611_21_4_1911_3_VI__101608984.txt,Harglen,,,NOT_IDENTIFIABLE,Imaginary,Harglen,
191,11611_21_4_1911_3_VI__101608984.txt,Warbrook,51.215987,-3.845519,NOT_IDENTIFIABLE,,Barbrook,
192,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,Scotland,56.4907,4.2026,VERIFIED,,Scotland,
193,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,Ashfield,-33.887697,151.125915,NOT_IDENTIFIABLE,,Ashfield,
194,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,Burwood,-33.878072,151.104076,NOT_IDENTIFIABLE,,Burwood,
195,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,Drummoyne,-33.85237,151.15491,VERIFIED,,Drummoyne,
196,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,Long Bay,-33.8179,151.220042,NOT_IDENTIFIABLE,,Long Bay,
197,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,Abbotsford,-33.852694,151.129883,NOT_IDENTIFIABLE,,Abbotsford,
198,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,Burwood,-33.878072,151.104076,NOT_IDENTIFIABLE,,Burwood,
200,10785_23_10_1908_6_V _SPORT._45038727.txt,Wyalong,-33.92373,147.20473,VERIFIED,,Wyalong,
201,10785_23_10_1908_6_V _SPORT._45038727.txt,Lake Cowal,-33.607582,147.436039,NOT_IDENTIFIABLE,,Lake Cowal,
202,10785_23_10_1908_6_V _SPORT._45038727.txt,Bland Creek,-33.70824,147.501399,NOT_IDENTIFIABLE,,Bland Creek,
203,10785_23_10_1908_6_V _SPORT._45038727.txt,Lake Cowal,-33.607582,147.436039,NOT_IDENTIFIABLE,,Lake Cowal,
204,10785_23_10_1908_6_V _SPORT._45038727.txt,Bland Creek,-33.70824,147.501399,NOT_IDENTIFIABLE,,Bland Creek,
205,10785_23_10_1908_6_V _SPORT._45038727.txt,Lake Cowal,-33.607582,147.436039,NOT_IDENTIFIABLE,,Lake Cowal,
206,10785_23_10_1908_6_V _SPORT._45038727.txt,Bland Creek,-33.70824,147.501399,NOT_IDENTIFIABLE,,Bland Creek,
207,10785_23_10_1908_6_V _SPORT._45038727.txt,Lake Cowal,-33.607582,147.436039,NOT_IDENTIFIABLE,,Lake Cowal,
208,10785_23_10_1908_6_V _SPORT._45038727.txt,Lake Cowal,-33.607582,147.436039,NOT_IDENTIFIABLE,,Lake Cowal,
